Name,Birth,Death,Nationality,Dates in Paris,address,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image
"Amaral, Tarsila do",1886,1973,Brazil,Jun. 1920-Jun. 1922; Feb.-Dec.1923; Sept. 1924-Mar. 1925; Dec. 1925-Aug. 1926; Mar.-Jul. 1928; 1931,"2, rue du Louvre (1920); 5, Villa Méquillet, Neuilly-sur-Seine (1922);  9, rue Hégéesyppe Moreau (1923-Jan. 1925);  19 boulevard Berthier (by Apr. 1926)",Académie Julian; Adadémie Emile Renard (1920-22);  Académie André Lhote (Mar-Jun 1923); Gleizes (Jun. 1923); Léger (Oct. 1923) ,"1922 (Apr. 29-Jun. 30) Salon de la Société des Artistes Français, Grand Palais (Portrait later renamed Passaporte)<br /> 1923 Inaugural exhibition at the Maison de l'Amérique Latine<br /> (Portrait de M de Andrade)<br /> 1926 Salon des Indépendants<br /> 1926 (June 7-23) Tarsila, Galerie Percier<br />  1928 (Jun 18-Jul. 7) Tarsila, Galerie Percier<br />  1926 Salon de France, Musée Galliera (one composition)<br /> 1928, 1929 (Oct.) Salon des vrais indépendants<br /> 1930, 1931 Salon des Surindépendents (Peinture [woman with long hair], Antropofagia, Cartão Postal, Distancia, Religão Brasileira, *not clear in Aracy Amaral monograph whether these paintings were in 1928, 1929, or 1931 salon)","French poet Blaise Cendrars, Emile Renard, Brancusi, Delaunay, Picasso",yes 1921-1926,Sells Composition in 1926 for 3300f,"Brazil, female, Salon des Artistes Français, Académie André Lhote, Académie Julian",
"Andrada, José de ",,,Brazil,1924,"14, cité Falguière (XIVe)",,"1922 Salon d'Automne (dining room design)<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (design for dining room table and chairs) ",,,"Might have been Brazilian statesman who dabbled in art, born 1871; worked in decorative arts","Brazil, Salon d'Automne, 1924 Exposition d'Art Américain-Latin",
"Andrade, Magda ",1912,,Venezuela,1933 or 1935-1941,"62, rue Lauriston, XVIe; 20, rue Freycinet XVIe; 41, avenue d'Iéna XVIe","Académie André Lhote; Othon Friesz, Marcel Gromaire","1935, 1936, 1937, 1938, 1940, 1941 Salon des Indépendants<br /> 1936, 1937, 1938 Salon d'automne<br /> 1934, 1935, 1938, 1939 Salon des Tuileries<br /> 1937 or 38 (May 20-June 4) Galerie Pittoresque (group show of André Lhote's students), 133, Boulvard Raspail",,,,"Venezuela, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, Académie André Lhote",
"Aranis, Graciela ",1906,1996,Chile,1927-1945,,,"1929, 1930 Salon d'Automne",,,,"Chile, female, Salon d'Automne",
"Arcila Uribe, Gustavo",1895,1963,Colombia,1930,"6, rue Tournefort",,"1930 Société des Artistes Français (Tête de Christ, marble)",,,sculptor,"Colombia, Salon des Artistes Français",
"Argudin Pedroso, Pastor",1889,?,Cuba,ca. 1924,"14, cité Falguière, Paris (XIVe)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1925, 1931 Salon des Indépendants",,,,"Cuba, 1924 Exposition d'Art Américain-Latin",
"Armongol, Jiménez",,,Cuba,ca. 1925,,,"1925 (Oct.) Cercle de l'Amérique Latine, blvd de la Madeliene (with Armando Maribona)",,,,Cuba,
Arriaran,,,,ca. 1923,,, 1923 Inaugural exhibition at the Maison de L'Amérique Latine,,,,,
"Arzadun, Carmelo de",1888,1968,Uruguay,1911-1915; 1925-1926,"14bis, rue de la Grande Chaumière (with Castellanos)","Académie de la Grande Chaumière, Académie Colarossi, Académie Vitti","1925, 1926 Salon d’Automne",,yes in 1911,,"Uruguay, Salon d'Automne, Académie Colarossi",
"Badi, Aquiles",1894,1976,Argentina,1927-1936,,Académie Julian; Académie André Lhote,"1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal",,,Grupo de Paris; in Italy 1920-c. 1927,"Argentina, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie André Lhote, Académie Julian",
"Balmori, Santos ",1899,1992,Mexico,1921-1935,,"Académie de la Grand Chaumière, Bourdelle","1926 (Mar.) Arte Americano Cabinet Maldoror, Brussels (with Jaime Colson, César Moro, Isaías Cabezón)",,,,Mexico,
"Banderas, Hector ",1903,1988,Chile ,"ca. 1930, 1931","19, rue Daguerre, XIVe",,"1930 (Interieur), 1931 Salon des Indépendants",,,,Chile ,
"Barbosa, Dario",1890,?,Brazil,?-1934,,,1927 Salon ,,,,Brazil,
"Barradas, Rafael ",1890,1929,Uruguay,"1913-1914, (possibly there briefly in 1925, does not list Paris address in 1925 exhibition catalogue) ",,,"1925 Exposition internationale des arts decoratifs et industriels modernes (grand prize, 4 posters, 4 set design maquettes, and 6 figurines for the Théâtre Eslava, exhibited with Spanish section) ",,,didn't really spend much time in Paris,"Uruguay, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes",
"Barreda, Enrique Domingo ",1879,1944,Peru,ca. 1924 (for 20 years),"27, rue du Rome",,1924 Salon des Indépendants<br /> 1924 Société Nationale des Beaux-Arts (Près d'Antibes)<br /> 1931 Salon des Artistes Français,,,,"Peru, Salon des Indépendants, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Barreda, Felipe ",1805,1892,Peru,,,,1928 individual exhibition (retrospective?),,,,Peru,
"Basaldua, Hector",1895,1978,Argentina,1923-1930,"51 bis, rue cher; 7, rue Daguerre","Académie Colarossi, Charles Guerin, André Lhote, Othon Friesz","1925 Salon d'Automne<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine<br /> 1928 Salon des Indépendants (Figure, Nature morte)<br /> 1929 Salon des Indépendants<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",,yes-1926,Grupo de Paris,"Argentina, Salon d'Automne, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie André Lhote, Académie Colarossi",
"Bellini, Gilberto ",1908,1935,Uruguay,"1920?, 1925-1930","19, avenue Aristide-Duru",Académie André Lhote,"1920 (Le bain), 1929, 1930 Salon des Indépendants<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak","Picasso, Moddigliani, Matisse, Othon Friesz, Torres García",yes,,"Uruguay, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak, Académie André Lhote",
"Beltran Masses, Federico Armando",1885 (born in Cuba to Spanish parents),1949,Cuba,ca. 1916-1929,,,"1924 Salon des Artistes Français<br /> 1926 Salon de France<br /> 1929 (May 4-24) Exposition des illustrations du Triomphe de la Mort de Gabriel d'Annunzio et des oeuvres de Frederic Beltran-Masses, Galerie Javal et Bordeaux",,,"sold work for 26,000 at Salon de France","Cuba, Salon des Artistes Français",
"Beretta, Milo (or Baretta)",1875,1935,Uruguay,,,,,,,,Uruguay,
"Berni, Antonio",1905,1981,Argentina,1925-1926 (4 months); 1927-1930,"4, rue Texel (1927); 33, rue Delambre (1929)",Académie de la Grand Chaumière with Orthon Friesz; 1926 Académie André Lhote,"1927 Salon d'Automne<br /> 1929 Salon des Indépendants (nu, nature morte) ",Louis Aragon,Jockey Club of Rosario; 1928 government of Santa Fe,Grupo de Paris,"Argentina, Salon d'Automne, Salon des Indépendants, Académie André Lhote",
"Bernier, Alfredo",,,Argentina,ca. 1922-1924,"3, rue Boileau, Crosne, Seine-et-Oise (1922); 57, Carvès, Montrouge, Seine (1924)",,"1922 Salon d'automne<br /> 1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,,Argentina,
"Beron, Gaston",,,,ca. 1925,,,1925 Salon d'Automne,,,,Salon d'Automne,
"Best Maugard, Adolfo",1891,1964,Mexico,1900-1913; 1915-1919,"3 bis, rue de Bagneux (1912); 243 rue St. Honoré (1913)",,"1912, 1913 Salon d'Automne<br /> 1914 Salon des Indépendants ",,yes,sent to copy artifacts,"Mexico, Salon d'Automne, Salon des Indépendants",
"Bestard, Jaime",1898,1965,Paraguay,1924-1933,"13, rue Dupin VIe",private Académies,"1929 (Joueur de guitare, nu), 1930, 1931 Salon des Indépendants ",,,,"Paraguay, Salon des Indépendants",
"Bianchi, Álvaro Yáñez  Juan Emar ",1893,1964,Chile,1919-1923,,Académie de la Grande Chaumière,,,,Grupo de Montparnasse; primarily a writer and art critic,"Chile, Académie de la Grande Chaumière ",
"Bigatti, Alfredo ",1898,1964,Argentina,"1923-1924, 1928-1929",Arcueil,Académie de la Grand Chaumière with Antoine Bourdelle,"1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (Grand prize for sculpture Cabeza de mujer, decorative relief La cocina criolla for the Argentine Pavilion)",,no,Grupo de Paris; sculptor; married to Raquel Forner,"Argentina, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",
"Bloch, Marcita",1903,?,Mexico,ca. 1935-1938,"66, rue de la Pompe",,"195, 1936, 1937, 1938 Salon d'Automne",,,,"Mexico, Salon d'Automne",
"Boggio, Emile ",1857,1920,Venezuela,"died in Paris, 1920",, Académie Julian,"1911 Salon des Indépendants (and several in 19th c)<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1925 (Oct. 22-Nov. 7) Galerie Georges Petit (retrospective exhibition)",,,"Post-impressionist, spent most of his life in Paris","Venezuela, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Académie Julian",
"Bonco, Enriqueta",,,Argentina,ca. 1924,,,1924 Galerie Manuel Fréres (sp?),,,,"Argentina, female",
"Bonnencontre, Ernest de",1862,1930,Chile,ca. 1925,,,1925 Galerie Manuel (Andean landscapes),,,,Chile,
"Bontá Costa, Marco Aurelio ",1899,1974,Chile,1927-1931,,Académie de la Grand Chaumière,"1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",,"Premio Bolsa a Europa or Premio Chile del Ministerio de Educación, also called Premio Europa ",,"Chile, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",
"Borges, Norah ",1901,1998,Argentina,1923 (very briefly with her family),,,,,,,"Argentina, female",
"Bourières-Giraud, Mme ",,,,,,,1924 individual exhibition,,,,female,
"Bracho, Angel",1911,2005,Mexico,,,José de Creeft,pair of Indians at the Salon (not clear which),,,sculptor; later associated with TGP,Mexico,
"Bracho, Carlos ",1899,1967,Mexico,ca. 1925-1926,"7, impasse du Rouet; 77, rue Denfert-Rochereau",,"1925, 1926 Salon d'Automne",,,,"Mexico, Salon d'Automne",
"Brecheret, Victor ",1894,1955,Brazil (born in Italy),1917; 1921-1926; 1927-1932; 1933-1934; 1934-1937,"36, avenue Châtillon; 14, rue Bréa (Vie); 52, rue Vercingétorix (XIVe)",,"1921, 1922, 1923 (Mise au tombeau), 1924 (Porteuse au Perfums), 1925, 1928 Salon d'Automne<br /> 1923 Inauguration of the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Sentinelle, Rhythme, poster design for exhbition)<br /> 1925 Salon de la Société des Artistes Français (honorable mention)<br /> 1925, 1929, 1930, 1931, 1932 Salon des Tuileries<br /> 1925, 1928, 1929 (Aprés le bain, Fuite en Egypte) Salon des Independants<br /> 1926 Exposition des Peintres et Sculpteurs de l'Ecole de Paris (Danseuse, honorable mention)",Constantin Brancusi,yes (1921-1926; 1927-1929),"His O Grupo was acquired by the French government in 1934 for the Musée Jeu de Paume; it was later moved to the public library at La Roche-sur-Yon, where it remains on display.","Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Salon des Tuileries, Salon des Artistes Français",
"Bruget, Adelita",,,Argentina,,,,1931 Salon des Artistes Français,,,,"Argentina, female, Salon des Artistes Français",
"Butler, Guillermo",1880,1960,Argentina,"1911-1915, 1920, 1928-1936 (back and forth to Buenos Aires)","83, rue de la Tombe-Issoire",,"1920 Salon d'Automne<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine",,,,"Argentina, Salon d'Automne",
"Butler, Horacio ",1897,1983,Argentina,1922; 1923-1931,"51 bis, rue Cler",Académie Montparnasse with André Lhote; Académie Moderne with Othon Friesz,"1924 “Exposition Art Américain-Latin,” Musée Galliera (Nature morte)<br /> 1926, 1927, 1931 Salon d'Automne<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1932 Salon des Tuileries<br /> 1931 Galerie Viau (group show El pianista)",,,Grupo de Paris,"Argentina, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries",
"Caballero, Jorge",1902,1992,Chile,1927-1931,,Académie André Lhote,"1929 Salon des Indépendants (2 works-not listed in guide)<br /> 1930  (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",,,Grupo de Montparnasse; 1928 named Head of Studio for André Lhote,"Chile, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak, Académie André Lhote",
"Cabezón, Isaías ",1891,1963,Chile,1924-1927; 1929; 1932-1933,"2, avenue de La Motte-Picquet VIIe; Chez M. Mori 44, bis, avenue de Châtillon XIVe",Académie Colarossi; Académie de la Grande Chaumière; Académie André Lhote,"1926 (Mar.) Arte Americano Cabinet Maldoror, Brussels (group show with Santos Balmori, Jaime Colson, César Moro)<br /> 1931, 1932 Salon des Indépendants<br /> ",,yes,Grupo de Montparnasse,"Chile, Salon des Indépendants, Académie de la Grande Chaumière, Académie André Lhote, Académie Colarossi",
"Cabré, Manuel ",1890,1984,Venezuela (born in Spain),1920-1932 (1930 back in Caracas for exhibition at Club Central),"127, boulevard Saint-Michel, Paris (VIe); 10, villa Duthy XIVe (1925)",Académie de la Grande Chaumière (July 1920); Académie Colorassi,"1922 (La Marne, Coin à Bellevue), 1923 (Nature Morte, Paysage de la Haute-Savoie, Paysage de la Haute-Savoie), 1925 (Barques de pêcheurs, Vue de Martigues), 1926 (Village de pêcheurs, Paysage), 1928 (Café des Arts (St. Tropez), Olivier), 1929 (Le Grand Pain, Voiliers) Salon des Indépendants<br /> 1922 (La route de Gergovie, Taninges et le Pic de Marcelly), 1928 (St. Tropez) Salon d'Automne<br /> 1923 Maison de L'Amérique Latine<br />1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (La marchande de ballons, Portrait de l'auteur, 2 Paysage)<br /> 1925 (Mar. 15) L’Exposition de la compagnie des peintres et sculpteurs professionnels a la closerie des lilas<br /> 1927 (Oct. 15-29) Galerie Girard 1, rue Edouard-VII<br />  group exhibitions at Le Petit Napolitan, Le Café du Parnasse, La Closerie de Lilas, Cafes de Montparnasse",Mûtzner,yes,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Venezuela, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Académie de la Grande Chaumière, Académie Colarossi",
"Cabrera, Germán ",1903,1990,Uruguay,"1926-1928, 1936-1938","5, rue de Plaisance","Académie Colarossi (with Charles Despiau), Académie de la Grande Chaumière (with Emile-Antoine Bourdelle)","1937 Salon d’Automne<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal<br /> 1938 Salon des Tuileries",,,sculptor,"Uruguay, Salon d'Automne, Académie de la Grande Chaumière, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie Colarossi",
"Cabrera, Lydia",1899,1991,Cuba,1927-1929,Montmartre,Ecole du Louvre (oriental art); Ecole des Beaux-Arts; 1931 Leger's Académie Contemporaine ,,,no-ran an antique store (Casa Alyds) to raise money for trip,burned all her canvases and turned to writing,"Cuba, female",
"Cabrera, Rosario ",1901,1975,Mexico,1925,,,"1925 (Dec. 14-24) Galerie Bernheim-Jeune, Fanbourg Saint-Honoré no. 84 (10 landscapes, 9 studies, 7 portraits, 16 aguasfuertes)",,pension from the Secretaría de Educación Pública,,"Mexico, Galerie Bernheim-Jeune",
"Caceres, Hector ",1897,1980,Chile,1929-1939,,"Académie de la Grand Chaumière, Académie Colarossi",,,yes,Grupo de Montparnasse,"Chile, Académie Colarossi",
"Calandria, Juan José ",1902,1980,Uruguay,ca. 1925-1939,,"Bourdelle, Despiau, Gimond; assistant to Gimond at the Académie Colarossi",Salon des Tuileries<br />  Salon de Printemps<br /> Exposition des Artistes Contemporains<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (gold medal),,yes (4 years ),sculptor,"Uruguay, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie Colarossi",
"Campão, José Marques ",1892,1949,Brazil,1927-1930 (perhaps longer),"31, rue Campagne-Première",Jean-Paul Laurens; P.A. Laurens,"1927 (May 5) Galerie Monna Lisa<br /> 1927 (La Maison-de-la-Reine (illustred in catalogue p. 176)), 1928 (Tranquilité), 1929 (Cours La Favette, Toulon, L’aube (Tamaris) (illustrated in catalogue p. 48), Nu, pastel), 1930 (La Figurante (illustred in catalogue p. 77), Dans la loge, pastel), 1931 Société des Artistes Français",,,"painter of nudes and landscapes; Member of Salon des Artistes Français, de la Galerie Brachot de Bruxelles","Brazil, Salon des Artistes Français",
"Campofiorito, Quirino",1902,1993,Brazil,ca. 1933,"16, rue Perceval",,1933 Salon d'Automne<br /> 1931 Société Nationale des Beaux-Arts,,,,"Brazil, Salon d'Automne, Société Nationale des Beaux Arts ",
"Candia, Domingo",1896,1976,Argentina,ca. 1931,,,1931 Salon des Surindépendants,,,,Argentina,
"Cantú, Federico ",1908,1989,Mexico,1924-1928?,,José de Creeft,,,,,Mexico,
"Caravia, Enrique (1905-1992)",1905,1992,Cuba,1928 in Europe (not sure he was in Paris),,,,,,,Cuba,
"Cardenas Albarracin, Joseph-Michel",,,Peru,,,,"1924, 1925, 1926, 1927, 1928 Salon des Indépendants ",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Peru, Salon des Indépendants",
"Carreño, Mario",1913,1956,Cuba,1937-39,"near Porte d'Orléans, XIVe",Académie Julian with Jean Souverbie; Ecole des Arts Appliqués,"1939 (Apr. 24-May 5) Exposition Carreno peintre Cubain, Galerie Bernheim-Jeune (with Jaime Colson)<br /> 1939 Galerie Royal (group show)",Oscar Dominguez,no,one canvas acquired by the Jeu de Paume; met Colson in Mexico before going to Paris,"Cuba, Galerie Bernheim-Jeune, Académie Julian",
"Carrie, Anna de",,,,ca. 1923,,,1923 Salon des Artistes Français,,,,"female, Salon des Artistes Français",
"Casals, Jorge",,,Argentina,ca. 1939,,,,,,,Argentina,
"Casas, Carmen de las ",,,Venezuela,ca. 1928; 1937; 1939,,with André Lhote in Miromandre 1937,1928 Salon d'Autonme,,,Brought works by André Lhote to exhibit and sell in Venezuela in 1939,"Venezuela, female, Salon d'Automne",
"Casasus, León",1896,1981,Mexico,,,,,,,,Mexico,
"Castellanos, Carlos Alberto ",1881,1945,Uruguay,1919-1927; 1928-1938,"84, rue d'assas VIe; 8, rue de la Grande Chaumière",,"1919, 1920, 1921, 1923, 1928 Salon d'Automne<br /> 1921 Salon des Artistes Décorateurs<br /> 1923 Exposición de Cartons de Tapisseries pour Aubusson, Musée Galliera<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (decorative panels and Maquettes pour le ballet Amancay)<br /> 1926 (Oct.) Exposition-Vente d'Art<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper<br /> 1927 Exposition Galerie Le Journal (group)<br /> 1927 (Mar. 16-30) Exposition Carlos A. Castellanso Tableaux et Tapisseries, Galerie Durand-Ruel<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Dec. 2-14) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana, 16, rue de la Grande Chaumière (organized by Castellanos)<br /> 1930, 1931 Salon des Tuileries<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Uruguay Pavillion, Mural decoration ",,yes,works in the Louvre and in the collections of Butler and Sarola; sells Espagnols surpris par des Indiens in 1926 for 3500f,"Uruguay, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, 1930 Exposition du Groupe Latino-American, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",
"Castellanos, Julio ",1905,1947,Mexico,1925 (few months),,Académie André Lhote,,,,Traveled with Manuel Rodríguez Lozano via Buenos Aires,"Mexico, Académie André Lhote",
"Castellanos, Roberto",1871,1942,Uruguay,ca. 1923,"68, rue Asselin, Cherbourg",,1923 Salon des Indépendants,,,,Uruguay,
"Castillo, Marcos ",1900,1966,Venezuela,1926,,Académie Julian with Bonnard and Ferrier,,,,,"Venezuela, Académie Julian",
"Castillo, Sarah",,,Argentina,,,"M. Leroux, Mlle Labarthe","1930, 1931 Salon des Artistes Français",,,"Member of l'Union des Femmes peintres et sculpteurs; worked in pastel; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, female, Salon des Artistes Français",
"Castro, Celia",1860,1930,Chile,,,,,,,,"Chile, female",
"Cavalcanti, Emiliano di",1897,1976,Brazil,1923-1925; 1936-1940,"Hotel Central, rue du Maine",Académie Ranson ,"1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal for murals for the French-Brazilian Coffee Company<br /> 1938 Galerie Rive Gauche (introduction Benjamin Crémieux)",,,,"Brazil, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie Ranson",
"Cavalleiro, Henrique ",1892,1975,Brazil,1919-1926,"95, rue de Vaugirard",Académie Julian (6 mos); Académie André Lhote (1927?),"1923 Salon des Artistes Françaises<br /> 1923, 1924 Société National des Beaux Arts de Paris<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,yes-Escola Nacional de Belas Artes,,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français, Académie André Lhote, Académie Julian",
"Celso, Antonio ",1896,1984,Brazil,ca. 1924,"1, rue Bréa",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924 Salon d'automne",,,sculptor,"Brazil, Salon d'Automne, 1924 Exposition d'Art Américain-Latin",
"Chacón, Juan Rafael  ",1894,1982,Costa Rica,1919 (few months),,,,,yes,sculptor,Costa Rica,
"Chader, Charles (or Charder)",,,Argentina,,,,1926 Société Nationale des Beaux-Arts,,,,"Argentina, Société Nationale des Beaux Arts ",
"Chavez, Carolina de",,,Peru,ca. 1930,,,"1930 (onze sculpteurs), 1931  Salon des Indépendants ",,,,"Peru, female, Salon des Indépendants",
"Cid, Elena",,,Argentina,ca. 1927,,,1926 Salon des Indépendants<br /> 1927 Salon d'Automne,,,,"Argentina, female, Salon des Indépendants, Salon d'Automne",
"Cilloniz, José",,,Peru,,,,1930 Salon des Artistes Français,,,,"Salon des Artistes Français, Peru",
